Disease,Description
Migraine,A neurological condition causing intense headaches often with nausea or light sensitivity.
Chicken pox,A viral infection causing itchy skin rash and red spots.
Paralysis (brain hemorrhage),Loss of muscle function due to bleeding in the brain.
Hepatitis A,A viral liver disease transmitted through contaminated food or water.
Common Cold,A viral infectious disease of the upper respiratory tract.
Diabetes,A chronic condition that affects blood sugar regulation.
Jaundice,A condition that causes yellowing of the skin due to liver issues.
Dengue,A mosquito-borne viral infection causing high fever and severe joint pain.
Psoriasis,"A chronic skin disease that causes red, itchy scaly patches."
Typhoid,"A bacterial infection due to Salmonella, often spread through contaminated food."
Malaria,A mosquito-borne infectious disease caused by Plasmodium parasites.
Tuberculosis,A bacterial infection that primarily affects the lungs.
Arthritis,"Inflammation of one or more joints, causing pain and stiffness."
Acne,A skin condition that occurs when hair follicles become clogged with oil and dead skin cells.
AIDS,"A chronic, potentially life-threatening condition caused by HIV."
GERD,A digestive disorder where stomach acid irritates the food pipe lining.
Hypertension,A condition in which the force of the blood against artery walls is too high.
Heart attack,Occurs when blood flow to a part of the heart is blocked.
Hepatitis B,A serious liver infection caused by the hepatitis B virus (HBV).
Hepatitis C,A liver disease caused by the hepatitis C virus.
Hepatitis D,"A liver infection caused by the hepatitis D virus, only in those infected with HBV."
Hepatitis E,A waterborne liver infection caused by the hepatitis E virus.
Hyperthyroidism,A condition in which the thyroid gland is overactive.
Hypothyroidism,A condition in which the thyroid gland is underactive.
Hypoglycemia,"Low blood sugar, a potentially dangerous condition."
Impetigo,A common and highly contagious skin infection.
Allergy,A condition in which the immune system reacts abnormally to a foreign substance.
Drug Reaction,Adverse effects caused by medication.
Bronchial Asthma,A condition in which a person's airways become inflamed and narrow.
Fungal infection,"An infection caused by fungi, often affecting the skin or nails."
Peptic ulcer diseae,Sores on the inner lining of the stomach or upper small intestine.
Pneumonia,An infection that inflames the air sacs in one or both lungs.
Osteoarthristis,A type of arthritis that occurs when flexible tissue at the ends of bones wears down.
Cervical spondylosis,Age-related wear and tear affecting the spinal disks in the neck.
Chronic cholestasis,A condition where bile flow from the liver is reduced or blocked.
Urinary tract infection,An infection in any part of the urinary system.
Varicose veins,"Swollen, twisted veins that are visible under the skin."
Alcoholic hepatitis,Liver inflammation caused by excessive alcohol consumption.
Dimorphic hemmorhoids(piles),"Swollen veins in the lower rectum or anus, can be internal or external."
Gastroenteritis,"Intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever."
Vertigo,A sensation of spinning dizziness.
Cold & Flu,"Common viral infections causing sore throat, runny nose, coughing, sneezing, etc."
